name,milnovecientos,dosmilveinte,percentage,province,densidad
Fuentes de Rubielos,895,124,86.14,Teruel,38.91
Fuentespalda,927,282,69.57,Teruel,39
Fórnoles,742,74,90.02,Teruel,32.56
Galve,468,160,65.81,Teruel,61.23
Gargallo,644,97,84.93,Teruel,30.08
Gea de Albarracín,1168,370,68.32,Teruel,57
Griegos,415,138,66.74,Teruel,31.77
Guadalaviar,492,244,50.40,Teruel,28.08
Gúdar,730,77,89.45,Teruel,60.77
Hinojosa de Jarque,546,112,79.48,Teruel,36.47
Huesa del Común,1284,69,94.62,Teruel,61.69
Híjar,3330,1754,47.32,Teruel,165.36
Jabaloyas,934,59,93.68,Teruel,61.73
Jarque de la Val,277,62,77.61,Teruel,29.23
Jatiel,255,39,84.70,Teruel,10.84
Jorcas,462,29,93.72,Teruel,26
Josa,615,34,94.47,Teruel,28.23
La Cañada de Verich,287,92,67.94,Teruel,10.86
La Cerollera,450,88,80.44,Teruel,33.75
La Codoñera,1342,319,76.22,Teruel,20.97
La Cuba,357,43,87.95,Teruel,6.51
La Fresneda,1799,443,75.37,Teruel,39.48
La Ginebrosa,1116,197,82.34,Teruel,80
La Hoz de la Vieja,924,81,91.23,Teruel,43.73
La Iglesuela del Cid,1485,402,72.92,Teruel,40.29
La Mata de los Olmos,458,261,43.01,Teruel,23.73
La Portellada,860,236,72.55,Teruel,21.37
La Puebla de Híjar,1921,899,53.20,Teruel,17.03
La Puebla de Valverde,1982,451,77.24,Teruel,17.03
La Zoma,181,32,82.32,Teruel,14
Lagueruela,252,69,72.61,Teruel,26.32
Lanzuela,243,22,90.94,Teruel,14.22
Las Parras de Castellote,1107,55,95.03,Teruel,42.13
Libros,607,100,83.52,Teruel,37.91
Lidón,308,54,82.46,Teruel,40
Linares de Mora,1592,225,85.86,Teruel,116.28
Lledó,580,155,73.27,Teruel,15.61
Los Olmos,600,118,80.33,Teruel,43.97
Loscos,1507,125,91.70,Teruel,71.78
Maicas,391,31,92.07,Teruel,24.74
Manzanera,2750,516,81.23,Teruel,168.66
Martín del Río,729,387,46.91,Teruel,54.88
Mas de las Matas,1981,1258,36.49,Teruel,29.99
Mazaleón,1403,511,63.57,Teruel,86.25
Mezquita de Jarque,327,89,72.78,Teruel,31.14
Mirambel,835,116,86.10,Teruel,45.47
Miravete de la Sierra,486,38,92.18,Teruel,36.51
Molinos,1405,222,84.19,Teruel,79.61
Monforte de Moyuela,694,71,89.76,Teruel,47.74
Monreal del Campo,2330,2487,-6.73,Teruel,89.05
Monroyo,1284,332,74.14,Teruel,79.23
Montalbán,2020,1245,38.36,Teruel,82.04
Monteagudo del Castillo,489,49,89.97,Teruel,44.36
Monterde de Albarracín,488,56,88.52,Teruel,45.21
Mora de Rubielos,3213,1512,52.94,Teruel,166.23
Moscardón,494,55,88.86,Teruel,26.93
Mosqueruela,3103,532,82.85,Teruel,265.03
Muniesa,1860,583,68.65,Teruel,129
Noguera de Albarracín,489,139,71.57,Teruel,47.44
Nogueras,359,21,94.15,Teruel,18.85
Nogueruelas,1156,210,81.83,Teruel,99.49
Obón,1257,34,97.29,Teruel,68.38
Odón,974,203,79.15,Teruel,74.24
Ojos Negros,1436,341,76.25,Teruel,90.92
Olba,1802,233,87.06,Teruel,20.99
Oliete,2146,343,84.01,Teruel,85.48
Orihuela del Tremedal,945,450,52.38,Teruel,71.52
Orrios,430,128,70.23,Teruel,35
Palomar de Arroyos,612,170,72.22,Teruel,33.62
Pancrudo,1000,119,88.10,Teruel,100.12
Peracense,385,77,80.00,Teruel,28.66
Peralejos,286,83,70.97,Teruel,36
Perales del Alfambra,817,236,71.11,Teruel,104.24
Peñarroya de Tastavins,1702,446,73.79,Teruel,83.28
Pitarque,938,68,92.75,Teruel,54.35
Plou,529,50,90.54,Teruel,17.21
Pozondón,539,43,92.02,Teruel,67.64
Pozuel del Campo,598,63,89.46,Teruel,27.85
Puertomingalvo,1271,117,90.79,Teruel,103.62
Rillo,502,85,83.06,Teruel,53.31
Riodeva,716,134,81.28,Teruel,34.34
Royuela,459,210,54.24,Teruel,32
Rubiales,290,49,83.10,Teruel,27.42
Rubielos de Mora,2284,635,72.19,Teruel,66
Rubielos de la Cérida,501,39,92.21,Teruel,66
Ráfales,859,139,83.81,Teruel,35.61
Ródenas,415,62,85.06,Teruel,44.26
Salcedillo,155,11,92.90,Teruel,16.89
Saldón,435,24,94.48,Teruel,28.37
Samper de Calanda,2647,721,72.76,Teruel,142
San Agustín,1204,123,89.78,Teruel,56.57
San Martín del Río,1330,132,90.07,Teruel,5.42
Santa Cruz de Nogueras,346,30,91.32,Teruel,19.51
Santa Eulalia,1164,1050,9.79,Teruel,80.97
Sarrión,2233,1148,48.58,Teruel,140.44
Segura de los Baños,795,41,94.84,Teruel,54.15
