1910,2018,municipio,cp,densidad,foto
496,55,Moscardón,44159,2.04,Moscardon
3140,551,Mosqueruela,44160,2.07,Mosqueruela
1917,599,Muniesa,44161,4.64,Muniesa
493,133,Noguera de Albarracín,44163,2.8,NogueradeAlbarracin
380,25,Nogueras,44164,1.32,Nogueras
1244,217,Nogueruelas,44165,2.18,Nogueruelas
1343,45,ObÃ³n,44167,0.65,Obon
925,205,OdÃ³n,44168,2.76,Odon
2573,377,Ojos Negros,44169,4.14,OjosNegros
2533,364,Oliete,44172,4.25,Oliete
586,122,Los Olmos,44173,2.77,LosOlmos
897,487,Orihuela del Tremedal,44174,6.8,OrihueladelTremedal
418,126,Orrios,44175,3.6,Orrios
654,169,Palomar de Arroyos,44176,5.02,PalomardeArroyos
1013,110,Pancrudo,44177,1.09,Pancrudo
1201,53,Las Parras de Castellote,44178,1.25,LasParrasdeCastellote
1608,439,Peñarroya de Tastavins,44179,5.27,PenarroyadeTastavins
419,76,Peracense,44180,2.65,Peracense
272,88,Peralejos,44181,2.44,Peralejos
778,221,Perales del Alfambra,44182,2.12,PeralesdelAlfambra
883,79,Pitarque,44183,1.45,Pitarque
574,43,Plou,44184,2.49,Plou
556,114,El Pobo,44185,1.8,ElPobo
592,48,Pozondón,44189,0.7,Pozondon
603,68,Pozuel del Campo,44190,2.44,PozueldelCampo
1406,112,Puertomingalvo,44193,1.08,Puertomingalvo
900,143,RÃ¡fales,44194,4.01,Rafales
447,93,Rillo,44195,1.74,Rillo
697,144,Riodeva,44196,4.19,Riodeva
487,61,Ródenas,44197,1.37,Rodenas
476,206,Royuela,44198,6.43,Royuela
269,50,Rubiales,44199,1.82,Rubiales
472,38,Rubielos de La CÃ©rida,44200,0.57,RubielosdeLaCerida
2388,627,Rubielos de Mora,44201,9.5,RubielosdeMora
159,17,Salcedillo,44203,1,Salcedillo
479,26,Saldón,44204,0.91,Saldon
2815,783,Samper de Calanda,44205,5.51,SamperdeCalanda
1240,125,San Agustín,44206,2.2,SanAgustin
367,37,Santa Cruz de Nogueras,44208,1.89,SantaCruzdeNogueras
